iter	Passed	Remaining
751	4356	1436
752	4360	1430
753	4367	1424
754	4370	1418
755	4374	1411
756	4379	1405
757	4384	1399
758	4388	1393
759	4392	1387
760	4399	1381
761	4402	1375
762	4406	1368
763	4413	1363
764	4418	1357
765	4422	1351
766	4426	1344
767	4432	1339
768	4436	1332
769	4440	1326
770	4446	1320
771	4451	1314
772	4455	1308
773	4460	1302
774	4465	1296
775	4469	1290
776	4473	1283
777	4480	1278
778	4484	1272
779	4488	1265
780	4492	1259
781	4497	1253
782	4501	1247
783	4504	1241
784	4511	1235
785	4516	1229
786	4520	1223
787	4524	1217
788	4530	1211
789	4533	1205
790	4537	1198
791	4543	1193
792	4548	1187
793	4552	1181
794	4556	1174
795	4561	1169
796	4565	1162
797	4569	1156
798	4573	1150
799	4579	1144
800	4583	1138
801	4586	1132
802	4593	1126
803	4598	1120
804	4601	1114
805	4606	1108
806	4611	1102
807	4615	1096
808	4618	1090
809	4625	1084
810	4630	1079
811	4633	1072
812	4638	1066
813	4643	1061
814	4647	1055
815	4653	1049
816	4661	1044
817	4666	1038
818	4671	1032
819	4679	1027
820	4683	1021
821	4688	1015
822	4694	1009
823	4697	1003
824	4701	997
825	4708	991
826	4712	985
827	4715	979
828	4720	973
829	4725	967
830	4728	961
831	4732	955
832	4738	950
833	4743	944
834	4747	938
835	4751	932
836	4756	926
837	4761	920
838	4764	914
839	4771	908
840	4776	903
841	4780	897
842	4784	891
843	4789	885
844	4793	879
845	4797	873
846	4801	867
847	4806	861
848	4809	855
849	4813	849
850	4818	843
851	4824	838
852	4828	832
853	4831	826
854	4837	820
855	4841	814
856	4845	808
857	4849	802
858	4855	796
859	4859	791
860	4862	785
861	4868	779
862	4873	773
863	4877	767
864	4881	761
865	4887	756
866	4890	750
867	4894	744
868	4900	738
869	4905	732
870	4908	727
871	4912	721
872	4919	715
873	4923	709
874	4926	703
875	4930	697
876	4935	692
877	4939	686
878	4943	680
879	4951	675
880	4955	669
881	4958	663
882	4963	657
883	4970	652
884	4974	646
885	4978	640
886	4986	635
887	4993	629
888	5003	624
889	5009	619
890	5018	613
891	5021	608
892	5025	602
893	5032	596
894	5036	590
895	5040	585
896	5044	579
897	5051	573
898	5055	567
899	5059	562
900	5066	556
901	5070	550
902	5073	545
903	5079	539
904	5084	533
905	5088	527
906	5091	522
907	5098	516
908	5102	510
909	5106	505
910	5112	499
911	5117	493
912	5121	488
913	5125	482
914	5131	476
915	5136	471
916	5140	465
917	5147	459
918	5150	454
919	5154	448
920	5159	442
921	5166	437
922	5170	431
923	5174	425
924	5180	420
925	5187	414
926	5193	408
927	5200	403
928	5205	397
929	5213	392
930	5218	386
931	5221	380
932	5228	375
933	5231	369
934	5235	363
935	5240	358
936	5246	352
937	5250	347
938	5253	341
939	5260	335
940	5265	330
941	5269	324
942	5275	318
943	5280	313
944	5283	307
945	5288	301
946	5293	296
947	5297	290
948	5301	284
949	5307	279
950	5312	273
951	5316	268
952	5320	262
953	5326	256
954	5330	251
955	5333	245
956	5338	239
957	5343	234
958	5347	228
959	5354	223
960	5360	217
961	5366	211
962	5373	206
963	5379	200
964	5383	195
965	5389	189
966	5394	184
967	5398	178
968	5402	172
969	5408	167
970	5412	161
971	5416	156
972	5422	150
973	5426	144
974	5430	139
975	5435	133
976	5440	128
977	5444	122
978	5448	116
979	5454	111
980	5459	105
981	5463	100
982	5467	94
983	5473	89
984	5477	83
985	5481	77
986	5487	72
987	5492	66
988	5497	61
989	5504	55
990	5507	50
991	5511	44
992	5515	38
993	5521	33
994	5525	27
995	5528	22
996	5534	16
997	5539	11
998	5543	5
999	5547	0
